City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,muravlenko,63.7898,74.523,-24.11,99,90,4.66,RU,1675828713
318,ribeira grande,38.5167,-28.7,13.21,66,45,2.24,PT,1675828714
319,airai,-8.9266,125.4092,20.94,80,82,1.58,TL,1675828581
320,riyadh,24.6877,46.7219,12.08,42,19,2.3,SA,1675828527
321,marawi,7.9986,124.2928,26.21,57,74,3.21,PH,1675828714
322,ponta delgada,37.7333,-25.6667,12.4,87,75,5.14,PT,1675828715
323,inhambane,-23.865,35.3833,25.55,87,6,2.65,MZ,1675828715
324,jumla,29.2747,82.1838,9.22,19,0,1.8,NP,1675828715
325,lebu,-37.6167,-73.65,14.8,88,0,7.74,CL,1675828716
326,wajima,37.4,136.9,4.38,100,75,1.54,JP,1675828716
327,auki,-8.7676,160.7034,29.95,65,94,2.78,SB,1675828716
328,labuhan,-6.8844,112.2051,25.55,87,100,2.96,ID,1675828522
329,luderitz,-26.6481,15.1594,18.2,83,17,8.17,NA,1675828717
330,ucluelet,48.9329,-125.5528,5.69,74,45,6.65,CA,1675828717
331,tabuk,17.4189,121.4443,27.26,75,74,1.35,PH,1675828718
332,provideniya,64.3833,-173.3,-19.94,71,100,3.0,RU,1675828718
333,filadelfia,39.9523,-75.1638,5.65,79,100,3.09,US,1675828432
334,yenotayevka,47.2456,47.0281,-7.6,80,100,9.62,RU,1675828719
335,geraldton,-28.7667,114.6,33.23,35,0,3.6,AU,1675828681
336,cidreira,-30.1811,-50.2056,23.95,82,7,6.2,BR,1675828719
337,olafsvik,64.8945,-23.7142,-2.34,56,100,13.21,IS,1675828577
338,esperance,-33.8667,121.9,22.28,64,71,5.54,AU,1675828495
339,zheshart,62.0731,49.5733,-5.63,93,100,4.08,RU,1675828720
340,novikovo,51.1537,37.8879,-11.55,93,6,4.1,RU,1675828720
341,rawson,-43.3002,-65.1023,18.26,59,1,2.11,AR,1675828679
342,chor,25.5167,69.7667,22.05,36,1,4.47,PK,1675828721
343,pedernales,18.0384,-71.744,24.79,64,0,2.16,DO,1675828480
344,homer,59.6425,-151.5483,-4.06,72,75,8.23,US,1675828721
345,ostrovnoy,68.0531,39.5131,-1.61,79,10,8.9,RU,1675828722
346,renfrew,55.872,-4.3925,7.51,83,100,5.66,GB,1675828722
347,baft,29.234,56.6057,6.44,73,98,5.54,IR,1675828722
348,gornopravdinsk,60.05,69.9,-25.21,100,100,1.77,RU,1675828723
349,tucson,32.2217,-110.9265,12.14,36,0,3.6,US,1675828451
350,imeni poliny osipenko,52.4201,136.4853,-21.92,84,46,3.33,RU,1675828723
351,thai binh,20.45,106.3333,21.35,88,100,4.99,VN,1675828723
352,pisco,-13.7,-76.2167,23.03,88,0,5.14,PE,1675828548
353,san patricio,28.017,-97.5169,22.05,88,93,5.26,US,1675828537
354,netivot,31.4222,34.5886,7.0,67,66,7.36,IL,1675828724
355,padang,-0.9492,100.3543,30.03,58,89,1.79,ID,1675828638
356,flinders,-34.5833,150.8552,21.77,89,100,1.34,AU,1675828725
357,collie,-33.3667,116.15,31.24,26,0,2.17,AU,1675828572
358,paka,4.6374,103.4368,27.96,83,40,3.09,MY,1675828725
359,shahrud,36.4182,54.9763,3.33,61,45,2.75,IR,1675828725
360,knoxville,35.9606,-83.9207,12.54,62,0,2.57,US,1675828651
361,turbat,26.0023,63.044,21.17,36,34,0.45,PK,1675828453
362,camapua,-19.5314,-54.0439,20.53,94,99,0.43,BR,1675828713
